id,label,subTypeOf,preprocessed_label
https://schema.org/SelfStorage,SelfStorage,https://schema.org/LocalBusiness,self storage
https://schema.org/ShoppingCenter,ShoppingCenter,https://schema.org/LocalBusiness,shopping center
https://schema.org/SportsActivityLocation,SportsActivityLocation,https://schema.org/LocalBusiness,sports activity location
https://schema.org/StadiumOrArena,StadiumOrArena,"https://schema.org/CivicStructure, https://schema.org/SportsActivityLocation",stadium or arena
https://schema.org/State,State,https://schema.org/AdministrativeArea,state
https://schema.org/Store,Store,https://schema.org/LocalBusiness,store
https://schema.org/SubwayStation,SubwayStation,https://schema.org/CivicStructure,subway station
https://schema.org/Suite,Suite,https://schema.org/Accommodation,suite
https://schema.org/TaxiStand,TaxiStand,https://schema.org/CivicStructure,taxi stand
https://schema.org/TelevisionStation,TelevisionStation,https://schema.org/LocalBusiness,television station
https://schema.org/TouristInformationCenter,TouristInformationCenter,https://schema.org/LocalBusiness,tourist information center
https://schema.org/TrainStation,TrainStation,https://schema.org/CivicStructure,train station
https://schema.org/TravelAgency,TravelAgency,https://schema.org/LocalBusiness,travel agency
https://schema.org/Volcano,Volcano,https://schema.org/Landform,volcano
https://schema.org/Zoo,Zoo,https://schema.org/CivicStructure,zoo
https://schema.org/AccountingService,AccountingService,https://schema.org/FinancialService,accounting service
https://schema.org/AdultEntertainment,AdultEntertainment,https://schema.org/EntertainmentBusiness,adult entertainment
https://schema.org/AmusementPark,AmusementPark,https://schema.org/EntertainmentBusiness,amusement park
https://schema.org/ArtGallery,ArtGallery,https://schema.org/EntertainmentBusiness,art gallery
https://schema.org/Attorney,Attorney,https://schema.org/LegalService,attorney
https://schema.org/AutoBodyShop,AutoBodyShop,https://schema.org/AutomotiveBusiness,auto body shop
https://schema.org/AutoDealer,AutoDealer,https://schema.org/AutomotiveBusiness,auto dealer
https://schema.org/AutoPartsStore,AutoPartsStore,"https://schema.org/AutomotiveBusiness, https://schema.org/Store",auto parts store
https://schema.org/AutoRental,AutoRental,https://schema.org/AutomotiveBusiness,auto rental
https://schema.org/AutoRepair,AutoRepair,https://schema.org/AutomotiveBusiness,auto repair
https://schema.org/AutoWash,AutoWash,https://schema.org/AutomotiveBusiness,auto wash
https://schema.org/AutomatedTeller,AutomatedTeller,https://schema.org/FinancialService,automated teller
https://schema.org/Bakery,Bakery,https://schema.org/FoodEstablishment,bakery
https://schema.org/BankOrCreditUnion,BankOrCreditUnion,https://schema.org/FinancialService,bank or credit union
https://schema.org/BarOrPub,BarOrPub,https://schema.org/FoodEstablishment,bar or pub
https://schema.org/BeautySalon,BeautySalon,https://schema.org/HealthAndBeautyBusiness,beauty salon
https://schema.org/BedAndBreakfast,BedAndBreakfast,https://schema.org/LodgingBusiness,bed and breakfast
https://schema.org/BikeStore,BikeStore,https://schema.org/Store,bike store
https://schema.org/BookStore,BookStore,https://schema.org/Store,book store
https://schema.org/BowlingAlley,BowlingAlley,https://schema.org/SportsActivityLocation,bowling alley
https://schema.org/Brewery,Brewery,https://schema.org/FoodEstablishment,brewery
